cik|date|link
1788503|2020-04-15|edgar/data/1788503/0001788503-20-000021.txt
1788503|2020-05-15|edgar/data/1788503/0001788503-20-000026.txt
1788503|2020-06-15|edgar/data/1788503/0001788503-20-000033.txt
1788503|2021-10-15|edgar/data/1788503/0001788503-21-000054.txt
1788503|2021-11-15|edgar/data/1788503/0001788503-21-000061.txt
1788503|2021-12-15|edgar/data/1788503/0001788503-21-000066.txt
1788503|2020-01-15|edgar/data/1788503/0001788503-20-000005.txt
1788503|2020-02-18|edgar/data/1788503/0001788503-20-000011.txt
1788503|2020-03-16|edgar/data/1788503/0001788503-20-000016.txt
1788503|2022-07-15|edgar/data/1788503/0001788503-22-000039.txt
1788503|2022-08-15|edgar/data/1788503/0001788503-22-000044.txt
1788503|2022-09-15|edgar/data/1788503/0001788503-22-000049.txt
1788503|2022-04-15|edgar/data/1788503/0001788503-22-000022.txt
1788503|2022-05-16|edgar/data/1788503/0001788503-22-000027.txt
1788503|2022-06-15|edgar/data/1788503/0001788503-22-000034.txt
1788503|2023-10-16|edgar/data/1788503/0001788503-23-000052.txt
1788503|2023-11-15|edgar/data/1788503/0001788503-23-000057.txt
1788503|2022-01-18|edgar/data/1788503/0001788503-22-000005.txt
1788503|2022-02-15|edgar/data/1788503/0001788503-22-000010.txt
1788503|2022-03-15|edgar/data/1788503/0001788503-22-000016.txt
1788503|2023-01-17|edgar/data/1788503/0001788503-23-000005.txt
1788503|2023-02-15|edgar/data/1788503/0001788503-23-000010.txt
1788503|2023-03-15|edgar/data/1788503/0001788503-23-000015.txt
1788503|2022-10-17|edgar/data/1788503/0001788503-22-000054.txt
1788503|2022-11-15|edgar/data/1788503/0001788503-22-000059.txt
1788503|2022-12-15|edgar/data/1788503/0001788503-22-000064.txt
1788503|2023-07-17|edgar/data/1788503/0001788503-23-000037.txt
1788503|2023-08-15|edgar/data/1788503/0001788503-23-000042.txt
1788503|2023-09-15|edgar/data/1788503/0001788503-23-000047.txt
1788503|2023-04-17|edgar/data/1788503/0001788503-23-000020.txt
1788503|2023-05-15|edgar/data/1788503/0001788503-23-000025.txt
1788503|2023-06-15|edgar/data/1788503/0001788503-23-000032.txt
